"","ITEM","AREAPLANTED","COUNTY","STATE","DATE","AREAHARVESTED","PRODUCTION_Q","YIELD","P_PRICE","CROP_DEN","P_VALUE","EXP_VAL","IMP_VAL","LABOR_EXP","DOM_CONSUMP","LOC","deltay","deltayhat"
"939","Corn",44892.58766,"Buchanan"," Iowa",1936,27562.7344,38889.45336,1.4122818,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.583889228,8.765393361
"941","Corn",48391.90441,"Boone_IO"," Iowa",1936,34420.13261,42852.06259,1.242807984,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.662323655,7.697780834
"943","Corn",57255.73403,"Carroll_IO"," Iowa",1936,39294.16649,27585.85653,0.703002496,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.525282375,11.07429971
"945","Corn",45503.66298,"Cedar_IO"," Iowa",1936,39920.61986,93883.35704,2.353803,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,8.07794241,6.922652656
"946","Corn",48661.82973,"Cerro Gordo"," Iowa",1936,34418.91855,44172.93233,1.280468832,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.210851078,10.48569381
"947","Corn",54445.59693,"Cherokee"," Iowa",1936,26053.25696,14148.54704,0.546082296,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.146144583,9.553279146
"949","Corn",21859.90433,"Clarke"," Iowa",1936,7498.82495,3149.766308,0.420546136,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.626006598,20.32388117
"951","Corn",33628.97218,"Clayton"," Iowa",1936,25010.38206,41556.59419,1.66335412,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.23230122,7.514458346
"952","Corn",55902.46524,"Clinton_IO"," Iowa",1936,48743.17155,93070.51412,1.908149632,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,8.817269684,8.011447159
"954","Corn",57860.33438,"Dallas"," Iowa",1936,46265.68604,57483.23511,1.242807984,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.377853617,14.4110045
"956","Corn",40386.00835,"Delaware"," Iowa",1936,29777.98361,49507.21398,1.66335412,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,5.58439215,9.048789807
"958","Corn",33980.23932,"Dickinson"," Iowa",1936,29066.14157,40311.92847,1.387174568,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.238188817,11.57219167
"959","Corn",29607.61095,"Dubuque"," Iowa",1936,23191.3201,33504.36903,1.44366584,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,8.863891094,6.310757189
"960","Corn",37523.26212,"Emmet"," Iowa",1936,32648.82356,51971.14407,1.594309232,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.32462628,9.993119646
"962","Corn",42915.29361,"Floyd"," Iowa",1936,30612.4454,41327.98212,1.34951372,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.503555078,10.27046138
"964","Corn",60186.06276,"Fremont"," Iowa",1936,53085.0438,32640.72343,0.615127184,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.010711187,13.18513219
"965","Corn",62082.82437,"Greene_IO"," Iowa",1936,50241.31779,56289.37208,1.117271824,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.999152598,9.289734265
"967","Corn",48672.75624,"Guthrie"," Iowa",1936,41082.47234,39930.90835,0.97290524,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.346935721,10.40702797
"969","Corn",53573.09469,"Hancock_IO"," Iowa",1936,42629.99023,56009.95732,1.311852872,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.061322541,7.972628006
"971","Corn",67146.65581,"Harrison"," Iowa",1936,22791.89537,6096.321886,0.269902744,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.731664688,2.838035493
"972","Corn",27614.93885,"Henry_IO"," Iowa",1936,16588.46916,20549.68502,1.236531176,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,5.36211497,17.6740416
"973","Corn",26038.28359,"Howard_IO"," Iowa",1936,17259.03327,27662.06056,1.60058604,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.434117694,5.747390908
"975","Corn",43557.12504,"Ida"," Iowa",1936,4250.4133,812.8429181,0.18830424,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.153300132,14.35978621
"977","Corn",27452.65991,"Jackson_IO"," Iowa",1936,23053.32229,41836.00894,1.813997512,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,9.876615996,1.921632274
"978","Corn",61881.69561,"Jasper_IO"," Iowa",1936,52416.50312,81462.1012,1.556648384,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.934178257,9.685818814
"980","Corn",44416.67735,"Johnson_IO"," Iowa",1936,39136.74377,76229.42491,1.94581048,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,9.913808805,8.497429839
"982","Corn",41554.3358,"Keokuk"," Iowa",1936,27917.64371,29643.36517,1.060780552,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,5.562751384,15.59755932
"984","Corn",20154.55904,"Lee_IO"," Iowa",1936,9151.965798,7442.592969,0.81598504,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.55412326,25.3662589
"985","Corn",51196.78059,"Linn"," Iowa",1936,37488.45915,63503.35298,1.69473816,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,7.387558312,9.793881532
"986","Corn",29720.92293,"Louisa"," Iowa",1936,23286.42122,29922.77992,1.28674564,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.601263598,18.9960789
"988","Corn",38895.55113,"Madison_IO"," Iowa",1936,28913.97976,23572.44462,0.81598504,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.055642828,16.82062376
"990","Corn",41163.00478,"Marion_IO"," Iowa",1936,28905.48137,33859.98781,1.173763096,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.583192413,22.27244315
"991","Corn",49398.3576,"Marshall_IO"," Iowa",1936,43171.45962,78159.92684,1.807720704,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,6.205659234,5.787430239
"993","Corn",67421.43736,"Monona"," Iowa",1936,35063.98747,13310.30278,0.37660848,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.779054268,13.29307601
"994","Corn",15743.08085,"Monroe_IO"," Iowa",1936,5442.212516,3200.56899,0.590019952,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.724898456,18.03149366
"995","Corn",40742.94109,"Montgomery_IO"," Iowa",1936,27599.5608,17526.92542,0.633957608,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.658852988,12.635371
"997","Corn",56513.54056,"O'Brien"," Iowa",1936,42788.22232,47957.73217,1.123548632,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.945233735,11.48472801
"998","Corn",38512.31383,"Osceola"," Iowa",1936,31871.42244,38102.01179,1.19259352,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.322594198,10.76761917
"999","Corn",44845.23944,"Page"," Iowa",1936,27750.10386,16993.49726,0.615127184,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.510625807,9.32813734
"1001","Corn",84916.80705,"Plymouth"," Iowa",1936,18781.46065,5791.505791,0.307563592,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.644947906,7.507390582
"1003","Corn",47297.63443,"Polk_IO"," Iowa",1936,38784.26258,56594.18817,1.456219456,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.071229938,12.7255717
"1004","Corn",46167.75212,"Poweshiek"," Iowa",1936,39218.08559,61572.85104,1.569202,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,8.785708647,11.75623518
"1006","Corn",54348.87706,"Sac"," Iowa",1936,29261.20004,19838.44747,0.677895264,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,6.754331752,6.335017175
"1007","Corn",33981.45338,"Scott"," Iowa",1936,27693.04318,57203.82036,2.065069832,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,7.684887432,8.515010156
"1008","Corn",61906.38143,"Shelby_IO"," Iowa",1936,27482.60665,10719.36598,0.389162096,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.808804107,17.72573707
"1010","Corn",60217.22356,"Story"," Iowa",1936,51710.32667,83722.82056,1.619416464,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.461693553,9.555959682
"1011","Corn",54128.72807,"Tama"," Iowa",1936,47587.79404,86034.34261,1.807720704,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.780382049,5.411028538
"1012","Corn",35401.49529,"Taylor"," Iowa",1936,9871.49687,3657.793131,0.370331672,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.042593067,18.97048823
"1014","Corn",17040.50302,"Van Buren"," Iowa",1936,7018.867778,3632.39179,0.514698256,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.429467073,21.7275671
"1016","Corn",42515.4642,"Washington_IO"," Iowa",1936,32651.25167,40845.35663,1.249084792,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,7.206495466,13.64378821
"1017","Corn",22398.94561,"Wayne_IO"," Iowa",1936,3400.978137,1117.659012,0.326394016,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.316247813,25.36011962
"1019","Corn",34173.67906,"Winnebago_IO"," Iowa",1936,26402.90535,39245.07214,1.487603496,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.351175298,10.83039124
"1020","Corn",34983.85971,"Winneshiek"," Iowa",1936,25629.14641,43182.28002,1.682184544,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.400314651,7.573325375
"1021","Corn",79344.28575,"Woodbury"," Iowa",1936,13506.38331,4394.432026,0.326394016,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,13.3206504,-2.224660267
"1023","Corn",60102.69752,"Wright"," Iowa",1936,50961.25355,73232.06665,1.437389032,1.07,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.325100824,11.60146681
"1024","Corn",46354.71689,"Adair"," Iowa",1937,44083.62106,113620.1991,2.579768088,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.054781967,-0.758100834
"1025","Corn",30993.25459,"Adams_IO"," Iowa",1937,29150.31618,73409.87604,2.517000008,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.981902721,-6.683237692
"1027","Corn",40776.93468,"Audubon"," Iowa",1937,38793.16566,92740.29668,2.391463848,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.179293792,1.9765406
"1029","Corn",47000.59517,"Black Hawk"," Iowa",1937,39964.7306,122180.4511,3.056805496,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.202607168,4.373887879
"1030","Corn",57376.33035,"Boone_IO"," Iowa",1937,54491.73109,193939.24,3.558950136,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.331781632,0.56674304
"1032","Corn",46950.41415,"Buchanan"," Iowa",1937,36684.75347,84129.24202,2.29103492,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.242904054,4.583889228
"1033","Corn",58782.20827,"Buena Vista"," Iowa",1937,55692.02871,182559.4391,3.276493776,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.895507177,-0.47142015
"1034","Corn",48712.41544,"Boone_IO"," Iowa",1937,42342.66343,110470.4328,2.611152128,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.388100119,0.662323655
"1036","Corn",58129.04565,"Carroll_IO"," Iowa",1937,55959.52592,165642.1459,2.962653376,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.952241731,1.525282375
"1037","Corn",51131.22152,"Cass_IO"," Iowa",1937,47289.54072,110267.2221,2.328695768,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.654193181,0.91532085
"1038","Corn",49179.42267,"Cedar_IO"," Iowa",1937,46109.0727,168995.1229,3.665655872,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.691832968,8.07794241
"1040","Corn",55069.62219,"Cherokee"," Iowa",1937,51570.30544,133585.6533,2.592321704,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.463550851,1.146144583
"1042","Corn",20630.06467,"Clarke"," Iowa",1937,19815.83716,50396.26092,2.54210724,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.012632906,-5.626006598
"1043","Corn",53845.44812,"Clay_IO"," Iowa",1937,50952.35047,152077.8297,2.987760608,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-8.801623379,0.897847138
"1044","Corn",35052.25158,"Clayton"," Iowa",1937,29934.59695,83595.81386,2.79317956,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-8.557310429,4.23230122
"1045","Corn",60831.53636,"Clinton_IO"," Iowa",1937,56672.17733,167674.2532,2.956376568,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-11.08183982,8.817269684
"1046","Corn",63573.28159,"Crawford_IO"," Iowa",1937,59821.84569,103840.6828,1.738675816,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.65074828,-0.239410686
"1047","Corn",58657.56509,"Dallas"," Iowa",1937,53697.33318,153093.8834,2.849670832,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.434120278,1.377853617
"1049","Corn",42641.32143,"Delaware"," Iowa",1937,34543.96642,85323.10506,2.473062352,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.53257599,5.58439215
"1050","Corn",28008.69798,"Des Moines"," Iowa",1937,26001.86188,90250.96525,3.471074824,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.141928309,2.949663837
"1051","Corn",33899.30219,"Dickinson"," Iowa",1937,32204.88341,94772.40398,2.943822952,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.10501748,-0.238188817
"1052","Corn",32231.99734,"Dubuque"," Iowa",1937,28299.66696,75441.98333,2.6676434,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-10.84912174,8.863891094
"1053","Corn",37645.07249,"Emmet"," Iowa",1937,35287.77863,105288.5592,2.9814838,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-10.61887919,0.32462628
"1055","Corn",43131.39575,"Floyd"," Iowa",1937,35297.89577,75391.18065,2.13411472,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.163070007,0.503555078
"1056","Corn",56480.76102,"Franklin_IO"," Iowa",1937,47145.47263,134957.3257,2.862224448,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.519449426,0.210376662
"1057","Corn",54762.87047,"Fremont"," Iowa",1937,53550.83698,123704.5316,2.309865344,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.223008809,-9.010711187
"1058","Corn",63944.78301,"Greene_IO"," Iowa",1937,60900.73761,197597.0331,3.245109736,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.89776029,2.999152598
"1059","Corn",46386.68705,"Grundy_IO"," Iowa",1937,43384.32427,152001.6257,3.502458864,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-8.512178949,4.490510302
"1060","Corn",49328.34698,"Guthrie"," Iowa",1937,47323.939,124339.5651,2.629982552,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.582822634,1.346935721
"1062","Corn",53004.51136,"Hancock_IO"," Iowa",1937,47685.32328,126346.2711,2.648812976,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.441588975,-1.061322541
"1063","Corn",54337.14118,"Hardin"," Iowa",1937,49040.61549,161679.5367,3.2953242,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-10.86244135,0.658210399
"1064","Corn",67637.94418,"Harrison"," Iowa",1937,64219.96925,107117.4558,1.669630928,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.417998406,0.731664688
"1065","Corn",29095.68362,"Henry_IO"," Iowa",1937,27571.63749,99192.23735,3.596610984,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.786055045,5.36211497
"1066","Corn",27192.85173,"Howard_IO"," Iowa",1937,19322.12067,36730.33936,1.901872824,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.144579202,4.434117694
"1068","Corn",43490.35191,"Ida"," Iowa",1937,41277.12613,85780.3292,2.077623448,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.855443994,-0.153300132
"1069","Corn",45099.78671,"Iowa"," Iowa",1937,42676.93377,154617.9638,3.621718216,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-11.99795413,9.477779098
"1070","Corn",30164.05371,"Jackson_IO"," Iowa",1937,27313.85273,77397.88661,2.830840408,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-13.47652842,9.876615996
"1071","Corn",64935.04878,"Jasper_IO"," Iowa",1937,60037.54313,203566.3483,3.38947632,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-11.65351682,4.934178257
"1072","Corn",25256.83562,"Jefferson_IO"," Iowa",1937,24101.05342,74273.52164,3.081912728,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.243562832,1.186789669
"1073","Corn",48820.06182,"Johnson_IO"," Iowa",1937,46592.26736,168029.872,3.6091646,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.856014332,9.913808805
"1075","Corn",43865.90019,"Keokuk"," Iowa",1937,42107.94576,146006.9092,3.464798016,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.126804745,5.562751384
"1076","Corn",93800.06158,"Kossuth"," Iowa",1937,87376.89106,244818.1264,2.799456368,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-10.02696464,-1.75396209
"1077","Corn",20467.78573,"Lee_IO"," Iowa",1937,18853.89938,55755.94391,2.956376568,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,3.467979484,1.55412326
"1078","Corn",54978.97261,"Linn"," Iowa",1937,46660.25455,142933.3469,3.063082304,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.705128973,7.387558312
"1079","Corn",30196.83325,"Louisa"," Iowa",1937,28440.90225,95788.45763,3.370645896,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.692031399,1.601263598
"1081","Corn",37318.0865,"Madison_IO"," Iowa",1937,34429.84507,93553.1396,2.717857864,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.384969926,-4.055642828
"1082","Corn",46184.34423,"Mahaska"," Iowa",1937,42565.24053,132290.1849,3.10701996,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.34506327,3.435962043
"1083","Corn",38864.79502,"Marion_IO"," Iowa",1937,35356.1705,105009.1445,2.968930184,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.77458687,-5.583192413
"1084","Corn",52463.85134,"Marshall_IO"," Iowa",1937,49282.61751,185760.0081,3.772361608,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-11.66451971,6.205659234
"1085","Corn",34437.93878,"Mitchell"," Iowa",1937,22683.03493,52453.76956,2.309865344,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.530118206,3.394731713
"1086","Corn",64199.33028,"Monona"," Iowa",1937,61531.64253,130156.4723,2.115284296,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.31215331,-4.779054268
"1088","Corn",38029.92854,"Montgomery_IO"," Iowa",1937,35609.09903,84205.44604,2.366356616,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.668546627,-6.658852988
"1089","Corn",33301.98618,"Muscatine"," Iowa",1937,30779.17589,107803.292,3.502458864,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-8.849084328,5.678768189
"1090","Corn",55979.35551,"O'Brien"," Iowa",1937,53525.74647,180044.7064,3.364369088,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.457116408,-0.945233735
"1091","Corn",38636.55232,"Osceola"," Iowa",1937,37099.15156,119767.3237,3.226279312,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.623663233,0.322594198
"1092","Corn",44167.79568,"Page"," Iowa",1937,40272.69637,83062.38569,2.065069832,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.82370511,-1.510625807
"1094","Corn",87162.81236,"Plymouth"," Iowa",1937,80952.10181,123729.9329,1.531541152,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.069865918,2.644947906
"1095","Corn",61629.98114,"Pocahontas"," Iowa",1937,59837.22374,221017.0697,3.690763104,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.800198314,0.325434631
"1096","Corn",46790.96801,"Polk_IO"," Iowa",1937,43733.1633,133941.2721,3.063082304,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.438831377,-1.071229938
"1097","Corn",50223.91631,"Poweshiek"," Iowa",1937,47456.67589,177148.9535,3.73470076,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-13.33054001,8.785708647
"1098","Corn",24676.11172,"Ringgold"," Iowa",1937,23071.53315,51539.32127,2.234543648,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.739635248,-10.04632224
"1099","Corn",58019.78052,"Sac"," Iowa",1937,54697.3114,147988.2138,2.705304248,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.628513639,6.754331752
"1101","Corn",60786.61626,"Shelby_IO"," Iowa",1937,57807.32056,137649.8679,2.378910232,0.44,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.401213001,-1.808804107
