X,ITEM,AREAPLANTED,COUNTY,STATE,DATE,AREAHARVESTED,PRODUCTION_Q,YIELD,P_PRICE,CROP_DEN,P_VALUE,EXP_VAL,IMP_VAL,LABOR_EXP,DOM_CONSUMP,LOC,deltay,deltayhat
1861,Corn,33703.02965,Clayton, Iowa,1926,23750.19097,63833.57041,2.686473824,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.128911399,NA
1954,Corn,52134.03254,Clinton, Iowa,1926,45911.58611,117303.3936,2.554660856,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.000341538,NA
2047,Corn,63788.97904,Crawford, Iowa,1926,57732.04903,156015.0376,2.705304248,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.266288554,NA
2140,Corn,57004.01956,Dallas, Iowa,1926,49497.91027,140723.4302,2.843394024,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.589521506,NA
2233,Corn,30406.46041,Decatur, Iowa,1926,27711.25404,52199.75615,1.8830424,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.024222745,NA
2326,Corn,37803.70927,Delaware, Iowa,1926,26911.99989,65891.07905,2.44795512,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.53904621,NA
2419,Corn,28435.23665,Des Moines, Iowa,1926,25644.92915,62233.28592,2.429124696,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.588415305,NA
2512,Corn,34906.16007,Dickinson, Iowa,1926,30258.34547,68405.81182,2.25965088,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.975421723,NA
2605,Corn,28820.49738,Dubuque, Iowa,1926,24126.9533,60353.58667,2.504446392,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.222067753,NA
2698,Corn,37092.27191,Emmet, Iowa,1926,32167.65233,80115.83011,2.491892776,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.335577221,NA
2791,Corn,41584.28254,Fayette, Iowa,1926,27937.87799,63884.37309,2.284758112,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.580291372,NA
2884,Corn,39899.57621,Floyd, Iowa,1926,29774.74612,67389.75818,2.265927688,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.513215802,NA
2977,Corn,54662.91312,Franklin, Iowa,1926,39284.85872,92943.50741,2.366356616,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.091430688,NA
3070,Corn,63459.56492,Fremont, Iowa,1926,61563.20801,145117.8622,2.360079808,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.303548205,NA
3163,Corn,63727.87151,Greene, Iowa,1926,56420.05818,147861.2071,2.623705744,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.382917936,NA
3256,Corn,44555.88921,Grundy, Iowa,1926,38232.67605,101935.5822,2.6676434,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.855585838,NA
3349,Corn,48388.26224,Guthrie, Iowa,1926,44024.53696,113772.6072,2.586044896,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.003010782,NA
3442,Corn,59202.27197,Hamilton, Iowa,1926,51330.73154,144355.822,2.812009984,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.688349326,NA
3535,Corn,51495.84328,Hancock, Iowa,1926,43086.88033,99522.45478,2.309865344,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.955221637,NA
3628,Corn,54094.73448,Hardin, Iowa,1926,43114.39895,108590.7336,2.517000008,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.300738383,NA
3721,Corn,75000.79475,Harrison, Iowa,1926,70062.82055,165692.9486,2.366356616,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.73921794,NA
3814,Corn,30329.57014,Henry, Iowa,1926,26058.92256,64671.81467,2.47933916,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.447815763,NA
3907,Corn,23736.83634,Howard, Iowa,1926,11198.86578,21311.72526,1.901872824,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.371494339,NA
4000,Corn,44897.44389,Humboldt, Iowa,1926,38825.9452,106736.4357,2.749241904,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.787388235,NA
4093,Corn,43203.42979,Ida, Iowa,1926,33484.49941,70006.09632,2.090177064,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.377339403,NA
4186,Corn,41804.02684,Iowa, Iowa,1926,36389.73763,102850.0305,2.8245636,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.393998068,NA
4279,Corn,27560.71098,Jackson, Iowa,1926,23001.92722,59007.31558,2.567214472,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.935157989,NA
4372,Corn,63156.05069,Jasper, Iowa,1926,54396.22528,147480.1869,2.711581056,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.126078096,NA
4465,Corn,27716.11026,Jefferson, Iowa,1926,24204.24826,53317.41516,2.203159608,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-8.002861798,NA
4558,Corn,43367.73216,Johnson, Iowa,1926,38727.2019,108387.5229,2.799456368,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.684408935,NA
4651,Corn,34036.49062,Jones, Iowa,1926,26409.38032,68228.00244,2.586044896,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.345920604,NA
4744,Corn,45211.47995,Keokuk, Iowa,1926,40948.52139,105796.5861,2.586044896,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-7.436448273,NA
4837,Corn,92153.80038,Kossuth, Iowa,1926,79983.68907,200391.1806,2.504446392,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.256748502,NA
4930,Corn,24763.11913,Lee, Iowa,1926,21619.52106,45442.99939,2.10273068,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-6.533640579,NA
5023,Corn,49876.29134,Linn, Iowa,1926,38776.97824,100259.0937,2.586044896,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.102712428,NA
5116,Corn,30053.57453,Louisa, Iowa,1926,27144.28945,66805.52733,2.460508736,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-10.17451254,NA
5209,Corn,58012.0915,Lyon, Iowa,1926,44368.11507,66348.30319,1.493880304,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.202286691,NA
5302,Corn,38471.84526,Madison, Iowa,1926,32645.99076,80903.27169,2.47933916,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.619927211,NA
5395,Corn,46956.88912,Mahaska, Iowa,1926,40136.72199,102037.1876,2.54210724,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.955478178,NA
5488,Corn,39886.62627,Marion, Iowa,1926,34784.34969,90250.96525,2.592321704,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.644406574,NA
5581,Corn,51657.71754,Marshall, Iowa,1926,44491.94887,127082.91,2.85594764,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.772430643,NA
5674,Corn,32198.81312,Mitchell, Iowa,1926,16149.38524,35282.46291,2.184329184,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.949349585,NA
5767,Corn,69189.91362,Monona, Iowa,1926,65580.11769,171636.8624,2.617428936,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.8485834,NA
5860,Corn,20179.24486,Monroe, Iowa,1926,16883.08031,34063.19854,2.014855368,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.818225564,NA
5953,Corn,42007.9884,Montgomery, Iowa,1926,37669.35363,95890.06299,2.548384048,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.169550323,NA
6046,Corn,32345.30932,Muscatine, Iowa,1926,27340.96667,67135.74477,2.454231928,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-9.039498528,NA
6139,Corn,57131.09085,O'Brien, Iowa,1926,49077.84657,123882.341,2.523276816,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.436893469,NA
6232,Corn,39184.90136,Osceola, Iowa,1926,32802.19941,71098.35399,2.16549876,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.569959086,NA
6325,Corn,49620.12533,Page, Iowa,1926,44670.81993,109759.1953,2.454231928,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.23721598,NA
6418,Corn,54791.19847,Palo Alto, Iowa,1926,47603.57678,114788.6608,2.410294272,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.179774287,NA
6511,Corn,85036.594,Plymouth, Iowa,1926,72805.37515,154389.3518,2.121561104,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.430876124,NA
6604,Corn,61854.98635,Pocahontas, Iowa,1926,56216.5013,129673.8468,2.303588536,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.153480269,NA
6697,Corn,47824.93982,Polk, Iowa,1926,43632.39657,118192.4406,2.711581056,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.324645856,NA
6790,Corn,49554.97094,Poweshiek, Iowa,1926,42746.13501,112502.5401,2.629982552,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.480951874,NA
6883,Corn,32968.9299,Ringgold, Iowa,1926,30404.84167,60048.77057,1.97719452,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.536799743,NA
6976,Corn,54248.91971,Sac, Iowa,1926,45547.36903,113239.179,2.485615968,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.009638057,NA
7069,Corn,32143.37119,Scott, Iowa,1926,27683.33073,75873.80613,2.742965096,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.57017676,NA
7162,Corn,57682.67738,Shelby, Iowa,1926,52481.25282,141688.6812,2.69902744,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.132337575,NA
7255,Corn,79888.99263,Sioux, Iowa,1926,63561.95039,134220.6868,2.109007488,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.039967576,NA
7348,Corn,61148.80991,Story, Iowa,1926,55036.43797,150045.7224,2.724134672,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.100594304,NA
7441,Corn,55643.06175,Tama, Iowa,1926,47818.86954,133814.2654,2.799456368,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.663330851,NA
7534,Corn,41346.73206,Taylor, Iowa,1926,37295.82879,74857.75249,2.00857856,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-2.932367613,NA
7627,Corn,26573.27801,Union, Iowa,1926,22966.71957,53190.40845,2.316142152,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.416849399,NA
7720,Corn,23309.48831,Van Buren, Iowa,1926,20532.53543,38279.82117,1.864211976,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-13.37870449,NA
7813,Corn,36755.16877,Warren, Iowa,1926,32673.50938,81106.48242,2.47933916,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-5.720954822,NA
7906,Corn,44667.98713,Washington, Iowa,1926,39945.71037,105872.7901,2.648812976,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-10.63627386,NA
7999,Corn,31033.72316,Wayne, Iowa,1926,28325.97153,49862.83276,1.75750624,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-4.511905687,NA
8092,Corn,66627.44413,Webster, Iowa,1926,62208.27692,141790.2865,2.278481304,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.313532554,NA
8185,Corn,32611.18779,Winnebago, Iowa,1926,24930.2543,57762.64987,2.316142152,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.794400878,NA
8278,Corn,34978.5988,Winneshiek, Iowa,1926,20560.05405,51488.51859,2.504446392,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.146539552,NA
8371,Corn,93052.6072,Woodbury, Iowa,1926,80393.23094,183499.2888,2.284758112,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.296871336,NA
8464,Corn,27077.51632,Worth, Iowa,1926,19065.14529,44706.36049,2.347526192,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.475115831,NA
8557,Corn,59755.07256,Wright, Iowa,1926,50836.20569,126803.4952,2.491892776,0.69,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.587452093,NA
2,Corn,46132.13978,Adair, Iowa,1927,38779.40635,91368.62426,2.353803,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,8.009123222,-1.622437978
95,Corn,31607.97208,Adams, Iowa,1927,27328.42142,65002.03211,2.378910232,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.602778332,1.323214617
188,Corn,18346.82827,Allamakee, Iowa,1927,12366.38385,20854.50112,1.688461352,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.455002649,-2.924928283
281,Corn,38764.0283,Audubon, Iowa,1927,35168.80105,87075.7976,2.473062352,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,3.296863887,1.112588941
374,Corn,58216.05306,Benton, Iowa,1927,49542.83038,122561.4712,2.473062352,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.288797747,-1.315067355
467,Corn,43275.86852,Black Hawk, Iowa,1927,30883.1801,69396.46413,2.247097264,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,3.80878461,-0.341090172
560,Corn,57528.08747,Boone, Iowa,1927,50936.56773,118903.6781,2.334972576,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.945446866,-0.133478517
653,Corn,28814.83178,Bremer, Iowa,1927,20466.16698,36044.50315,1.763783048,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.542027715,-0.698705802
746,Corn,41576.59351,Buchanan, Iowa,1927,23164.61085,37746.39301,1.63197008,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,8.102162769,-5.333284196
839,Corn,60016.49948,Buena Vista, Iowa,1927,51171.2854,118446.454,2.316142152,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.171269819,-0.204565038
932,Corn,45950.03124,Butler, Iowa,1927,34780.30283,64341.59723,1.85165836,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.066053122,-0.499496131
1025,Corn,59750.62101,Calhoun, Iowa,1927,55886.27782,129089.6159,2.309865344,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.639403446,-0.758858956
1118,Corn,54991.92255,Carroll, Iowa,1927,49301.63773,114763.2595,2.328695768,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.874337689,-1.198231739
1211,Corn,51920.35852,Cass, Iowa,1927,44624.68577,106457.0209,2.38518704,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.416249667,0.575397445
1304,Corn,42939.17007,Cedar, Iowa,1927,33067.6732,75492.78602,2.284758112,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.087554763,-4.777075772
1397,Corn,46088.43373,Cerro Gordo, Iowa,1927,31821.24142,59794.75716,1.876765592,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.028098026,0.205008173
1490,Corn,56567.36375,Cherokee, Iowa,1927,47678.84831,110470.4328,2.316142152,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.249096799,-1.290181349
1583,Corn,30510.05994,Chickasaw, Iowa,1927,18147.72294,27611.25787,1.518987536,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.580963493,-0.688928404
1676,Corn,24249.16837,Clarke, Iowa,1927,20542.24788,36196.9112,1.763783048,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,10.87098011,-2.032241174
1769,Corn,51635.45983,Clay, Iowa,1927,42521.93917,81335.09449,1.91442644,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.002539315,-5.756787907
1862,Corn,32985.52201,Clayton, Iowa,1927,21111.64058,41150.17273,1.952087288,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,3.484277798,-2.128911399
1955,Corn,49005.81253,Clinton, Iowa,1927,40583.89963,84738.87421,2.090177064,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.44275615,-6.000341538
2048,Corn,62981.2265,Crawford, Iowa,1927,55582.3589,134677.911,2.422847888,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.609137042,-1.266288554
2141,Corn,57910.11071,Dallas, Iowa,1927,50020.76412,133839.6667,2.673920208,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.634532741,1.589521506
2234,Corn,28878.77211,Decatur, Iowa,1927,25083.22547,39473.68421,1.575478808,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,5.294208335,-5.024222745
2327,Corn,36465.81853,Delaware, Iowa,1927,23850.95769,40946.962,1.719845392,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,6.932714832,-3.53904621
2420,Corn,26277.4528,Des Moines, Iowa,1927,20791.93892,40159.52042,1.933256864,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,6.405063698,-7.588415305
2513,Corn,33518.493,Dickinson, Iowa,1927,27445.37557,46382.84901,1.688461352,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.704464786,-3.975421723
2606,Corn,27315.47148,Dubuque, Iowa,1927,20736.49699,32031.09124,1.544094768,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,5.668316072,-5.222067753
2699,Corn,34742.26238,Emmet, Iowa,1927,27655.00273,52275.96017,1.889319208,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,5.435061164,-6.335577221
2792,Corn,40095.44406,Fayette, Iowa,1927,21608.18987,34850.64011,1.613139656,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,3.620379906,-3.580291372
2885,Corn,40104.34714,Floyd, Iowa,1927,27135.79105,48313.35094,1.782613472,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.72653884,0.513215802
2978,Corn,55806.15006,Franklin, Iowa,1927,38623.19769,81970.12802,2.121561104,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.808556922,2.091430688
3071,Corn,63652.19529,Fremont, Iowa,1927,60993.41062,147276.9762,2.41657108,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.941177973,0.303548205
3164,Corn,63483.84606,Greene, Iowa,1927,56150.53754,130537.4924,2.32241896,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.731169359,-0.382917936
3257,Corn,43729.11644,Grundy, Iowa,1927,36866.862,92689.494,2.517000008,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.507139746,-1.855585838
3350,Corn,49357.48435,Guthrie, Iowa,1927,44292.84354,103612.0707,2.341249384,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.83413274,2.003010782
3443,Corn,58794.75353,Hamilton, Iowa,1927,49335.22664,113112.1723,2.29103492,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.411019709,-0.688349326
3536,Corn,50488.98541,Hancock, Iowa,1927,39840.89679,77423.28795,1.94581048,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.724585406,-1.955221637
3629,Corn,54257.41811,Hardin, Iowa,1927,42033.4836,93857.9557,2.234543648,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.382627366,0.300738383
3722,Corn,74446.37542,Harrison, Iowa,1927,70428.65637,177377.5655,2.517000008,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.90508315,-0.73921794
3815,Corn,29283.86244,Henry, Iowa,1927,22093.00326,46687.66511,2.115284296,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.106934581,-3.447815763
3908,Corn,23173.91861,Howard, Iowa,1927,8849.665624,12776.87462,1.44366584,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,3.565940245,-2.371494339
4001,Corn,44094.95226,Humboldt, Iowa,1927,36927.96954,77270.8799,2.090177064,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.574517483,-1.787388235
4094,Corn,44230.52195,Ida, Iowa,1927,38059.47059,94543.79191,2.485615968,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.750256193,2.377339403
4187,Corn,39549.11844,Iowa, Iowa,1927,33853.57271,82782.97094,2.44795512,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.761173862,-5.393998068
4280,Corn,26476.15346,Jackson, Iowa,1927,20062.29071,34012.39585,1.69473816,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.390560022,-3.935157989
4373,Corn,61813.30373,Jasper, Iowa,1927,52842.6371,137726.0719,2.60487532,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,3.905227054,-2.126078096
4466,Corn,25498.02826,Jefferson, Iowa,1927,19700.90643,30583.21479,1.550371576,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,7.530909255,-8.002861798
4559,Corn,41336.21024,Johnson, Iowa,1927,35465.84031,75137.16724,2.121561104,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,7.551104327,-4.684408935
4652,Corn,33578.38648,Jones, Iowa,1927,24518.28432,52098.15078,2.127837912,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,1.986164316,-1.345920604
4745,Corn,41849.35163,Keokuk, Iowa,1927,35484.86054,70285.51107,1.983471328,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,7.573589139,-7.436448273
4838,Corn,90074.12087,Kossuth, Iowa,1927,74545.52341,149334.4849,2.002301752,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.695684206,-2.256748502
4931,Corn,23145.18593,Lee, Iowa,1927,16412.83559,21972.16013,1.336960104,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,8.948647577,-6.533640579
5024,Corn,48328.77345,Linn, Iowa,1927,35551.22898,73968.70555,2.077623448,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,5.584351427,-3.102712428
5117,Corn,26995.76982,Louisa, Iowa,1927,21792.32183,38838.65068,1.782613472,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,10.06625893,-10.17451254
5210,Corn,59289.68407,Lyon, Iowa,1927,52680.35816,114661.6541,2.178052376,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-3.607994112,2.202286691
5303,Corn,37848.62937,Madison, Iowa,1927,31510.84753,72165.21032,2.29103492,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,7.09535316,-1.619927211
5396,Corn,46038.6574,Mahaska, Iowa,1927,37843.77314,88066.44991,2.328695768,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,4.639428994,-1.955478178
5489,Corn,38432.99544,Marion, Iowa,1927,32392.25286,75391.18065,2.328695768,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,7.704538265,-3.644406574
5582,Corn,51258.6975,Marshall, Iowa,1927,43672.86513,119335.5009,2.73041148,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-0.07816016,-0.772430643
5675,Corn,31571.14569,Mitchell, Iowa,1927,13158.75834,23242.22719,1.763783048,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,-1.402312397,-1.949349585
5768,Corn,66527.08209,Monona, Iowa,1927,61626.33897,148089.8191,2.404017464,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,0.122268732,-3.8485834
5861,Corn,20014.13312,Monroe, Iowa,1927,15316.54219,22683.39768,1.481326688,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,3.483904878,-0.818225564
5954,Corn,42079.21308,Montgomery, Iowa,1927,37204.77452,96880.7153,2.60487532,0.83,13600,850565000,6455507609,18808800,2.83,86468000,80.79,2.989036339,0.169550323
