,ITEM,AREA_PLANTED,COUNTY,STATE,DATE,AREAHARVESTED,PRODUCTION_Q,YIELD,P_PRICE,CROP_DEN,P_VALUE,EXP_VAL,IMP_VAL,LABOR_EXP,DOM_CONSUMP,LOC,deltay,deltayhat
14051,Corn,27716.11026,Jefferson, Iowa,1926,24204.24826,53317.41516,2.203159608,0.69,NA,NA,NA,NA,NA,NA,NA,-2218.082,NA
14144,Corn,43367.73216,Johnson_IA, Iowa,1926,38727.2019,108387.5229,2.799456368,0.69,NA,NA,NA,NA,NA,NA,NA,-2031.52192,NA
14237,Corn,34036.49062,Jones, Iowa,1926,26409.38032,68228.00244,2.586044896,0.69,NA,NA,NA,NA,NA,NA,NA,-458.10414,NA
14330,Corn,45211.47995,Keokuk, Iowa,1926,40948.52139,105796.5861,2.586044896,0.69,NA,NA,NA,NA,NA,NA,NA,-3362.12832,NA
14423,Corn,92153.80038,Kossuth, Iowa,1926,79983.68907,200391.1806,2.504446392,0.69,NA,NA,NA,NA,NA,NA,NA,-2079.67951,NA
14516,Corn,24763.11913,Lee_IA, Iowa,1926,21619.52106,45442.99939,2.10273068,0.69,NA,NA,NA,NA,NA,NA,NA,-1617.9332,NA
14609,Corn,49876.29134,Linn, Iowa,1926,38776.97824,100259.0937,2.586044896,0.69,NA,NA,NA,NA,NA,NA,NA,-1547.51789,NA
14702,Corn,30053.57453,Louisa, Iowa,1926,27144.28945,66805.52733,2.460508736,0.69,NA,NA,NA,NA,NA,NA,NA,-3057.80471,NA
14795,Corn,58012.0915,Lyon, Iowa,1926,44368.11507,66348.30319,1.493880304,0.69,NA,NA,NA,NA,NA,NA,NA,1277.59257,NA
14888,Corn,38471.84526,Madison, Iowa,1926,32645.99076,80903.27169,2.47933916,0.69,NA,NA,NA,NA,NA,NA,NA,-623.21589,NA
14981,Corn,46956.88912,Mahaska, Iowa,1926,40136.72199,102037.1876,2.54210724,0.69,NA,NA,NA,NA,NA,NA,NA,-918.23172,NA
15074,Corn,39886.62627,Marion_IA, Iowa,1926,34784.34969,90250.96525,2.592321704,0.69,NA,NA,NA,NA,NA,NA,NA,-1453.63083,NA
15167,Corn,51657.71754,Marshall_IA, Iowa,1926,44491.94887,127082.91,2.85594764,0.69,NA,NA,NA,NA,NA,NA,NA,-399.02004,NA
15260,Corn,32198.81312,Mitchell, Iowa,1926,16149.38524,35282.46291,2.184329184,0.69,NA,NA,NA,NA,NA,NA,NA,-627.66743,NA
15353,Corn,69189.91362,Monona, Iowa,1926,65580.11769,171636.8624,2.617428936,0.69,NA,NA,NA,NA,NA,NA,NA,-2662.83153,NA
15446,Corn,20179.24486,Monroe_IA, Iowa,1926,16883.08031,34063.19854,2.014855368,0.69,NA,NA,NA,NA,NA,NA,NA,-165.11174,NA
15539,Corn,42007.9884,Montgomery_IA, Iowa,1926,37669.35363,95890.06299,2.548384048,0.69,NA,NA,NA,NA,NA,NA,NA,71.22468,NA
15632,Corn,32345.30932,Muscatine, Iowa,1926,27340.96667,67135.74477,2.454231928,0.69,NA,NA,NA,NA,NA,NA,NA,-2923.85376,NA
15725,Corn,57131.09085,O'Brien, Iowa,1926,49077.84657,123882.341,2.523276816,0.69,NA,NA,NA,NA,NA,NA,NA,-1963.53473,NA
15818,Corn,39184.90136,Osceola, Iowa,1926,32802.19941,71098.35399,2.16549876,0.69,NA,NA,NA,NA,NA,NA,NA,-1790.73396,NA
15911,Corn,49620.12533,Page, Iowa,1926,44670.81993,109759.1953,2.454231928,0.69,NA,NA,NA,NA,NA,NA,NA,613.90812,NA
16004,Corn,54791.19847,Palo Alto, Iowa,1926,47603.57678,114788.6608,2.410294272,0.69,NA,NA,NA,NA,NA,NA,NA,-2838.06041,NA
16097,Corn,85036.594,Plymouth, Iowa,1926,72805.37515,154389.3518,2.121561104,0.69,NA,NA,NA,NA,NA,NA,NA,2067.13426,NA
16190,Corn,61854.98635,Pocahontas, Iowa,1926,56216.5013,129673.8468,2.303588536,0.69,NA,NA,NA,NA,NA,NA,NA,-1950.58479,NA
16283,Corn,47824.93982,Polk_IA, Iowa,1926,43632.39657,118192.4406,2.711581056,0.69,NA,NA,NA,NA,NA,NA,NA,-1590.00988,NA
16376,Corn,49554.97094,Poweshiek, Iowa,1926,42746.13501,112502.5401,2.629982552,0.69,NA,NA,NA,NA,NA,NA,NA,-1229.43498,NA
16469,Corn,32968.9299,Ringgold, Iowa,1926,30404.84167,60048.77057,1.97719452,0.69,NA,NA,NA,NA,NA,NA,NA,-506.66643,NA
16562,Corn,54248.91971,Sac, Iowa,1926,45547.36903,113239.179,2.485615968,0.69,NA,NA,NA,NA,NA,NA,NA,2175.18533,NA
16655,Corn,32143.37119,Scott, Iowa,1926,27683.33073,75873.80613,2.742965096,0.69,NA,NA,NA,NA,NA,NA,NA,-1469.00888,NA
16748,Corn,57682.67738,Shelby_IA, Iowa,1926,52481.25282,141688.6812,2.69902744,0.69,NA,NA,NA,NA,NA,NA,NA,653.16263,NA
16841,Corn,79888.99263,Sioux_IA, Iowa,1926,63561.95039,134220.6868,2.109007488,0.69,NA,NA,NA,NA,NA,NA,NA,830.81962,NA
16934,Corn,61148.80991,Story, Iowa,1926,55036.43797,150045.7224,2.724134672,0.69,NA,NA,NA,NA,NA,NA,NA,-61.51222,NA
17027,Corn,55643.06175,Tama, Iowa,1926,47818.86954,133814.2654,2.799456368,0.69,NA,NA,NA,NA,NA,NA,NA,-1481.95883,NA
17120,Corn,41346.73206,Taylor, Iowa,1926,37295.82879,74857.75249,2.00857856,0.69,NA,NA,NA,NA,NA,NA,NA,-1212.43818,NA
17213,Corn,26573.27801,Union, Iowa,1926,22966.71957,53190.40845,2.316142152,0.69,NA,NA,NA,NA,NA,NA,NA,642.23611,NA
17306,Corn,23309.48831,Van Buren, Iowa,1926,20532.53543,38279.82117,1.864211976,0.69,NA,NA,NA,NA,NA,NA,NA,-3118.50756,NA
17399,Corn,36755.16877,Warren_IA, Iowa,1926,32673.50938,81106.48242,2.47933916,0.69,NA,NA,NA,NA,NA,NA,NA,-2102.7466,NA
17492,Corn,44667.98713,Washington, Iowa,1926,39945.71037,105872.7901,2.648812976,0.69,NA,NA,NA,NA,NA,NA,NA,-4751.00944,NA
17585,Corn,31033.72316,Wayne, Iowa,1926,28325.97153,49862.83276,1.75750624,0.69,NA,NA,NA,NA,NA,NA,NA,-1400.21232,NA
17678,Corn,66627.44413,Webster_IA, Iowa,1926,62208.27692,141790.2865,2.278481304,0.69,NA,NA,NA,NA,NA,NA,NA,1541.44761,NA
17771,Corn,32611.18779,Winnebago_IA, Iowa,1926,24930.2543,57762.64987,2.316142152,0.69,NA,NA,NA,NA,NA,NA,NA,-585.17544,NA
17864,Corn,34978.5988,Winneshiek, Iowa,1926,20560.05405,51488.51859,2.504446392,0.69,NA,NA,NA,NA,NA,NA,NA,-401.04347,NA
17957,Corn,93052.6072,Woodbury, Iowa,1926,80393.23094,183499.2888,2.284758112,0.69,NA,NA,NA,NA,NA,NA,NA,-1206.77259,NA
18050,Corn,27077.51632,Worth, Iowa,1926,19065.14529,44706.36049,2.347526192,0.69,NA,NA,NA,NA,NA,NA,NA,399.42473,NA
18143,Corn,59755.07256,Wright, Iowa,1926,50836.20569,126803.4952,2.491892776,0.69,NA,NA,NA,NA,NA,NA,NA,-948.58315,NA
9588,Corn,46132.13978,Adair, Iowa,1927,38779.40635,91368.62426,2.353803,0.83,NA,NA,NA,NA,NA,NA,NA,3694.77992,-760.80901
9681,Corn,31607.97208,Adams, Iowa,1927,27328.42142,65002.03211,2.378910232,0.83,NA,NA,NA,NA,NA,NA,NA,1454.84489,412.77935
9774,Corn,18346.82827,Allamakee, Iowa,1927,12366.38385,20854.50112,1.688461352,0.83,NA,NA,NA,NA,NA,NA,NA,450.41512,-552.80059
9867,Corn,38764.0283,Audubon, Iowa,1927,35168.80105,87075.7976,2.473062352,0.83,NA,NA,NA,NA,NA,NA,NA,1277.99725,426.53867
9960,Corn,58216.05306,Benton, Iowa,1927,49542.83038,122561.4712,2.473062352,0.83,NA,NA,NA,NA,NA,NA,NA,750.28718,-775.78237
10053,Corn,43275.86852,Black Hawk, Iowa,1927,30883.1801,69396.46413,2.247097264,0.83,NA,NA,NA,NA,NA,NA,NA,1648.28462,-148.11494
10146,Corn,57528.08747,Boone, Iowa,1927,50936.56773,118903.6781,2.334972576,0.83,NA,NA,NA,NA,NA,NA,NA,543.8975,-76.89027
10239,Corn,28814.83178,Bremer, Iowa,1927,20466.16698,36044.50315,1.763783048,0.83,NA,NA,NA,NA,NA,NA,NA,732.48101,-202.74751
10332,Corn,41576.59351,Buchanan, Iowa,1927,23164.61085,37746.39301,1.63197008,0.83,NA,NA,NA,NA,NA,NA,NA,3368.60328,-2342.3205
10425,Corn,60016.49948,Buena Vista, Iowa,1927,51171.2854,118446.454,2.316142152,0.83,NA,NA,NA,NA,NA,NA,NA,-102.79015,-123.02444
10518,Corn,45950.03124,Butler_IA, Iowa,1927,34780.30283,64341.59723,1.85165836,0.83,NA,NA,NA,NA,NA,NA,NA,30.35143,-230.67082
10611,Corn,59750.62101,Calhoun, Iowa,1927,55886.27782,129089.6159,2.309865344,0.83,NA,NA,NA,NA,NA,NA,NA,1577.05995,-456.89009
10704,Corn,54991.92255,Carroll_IA, Iowa,1927,49301.63773,114763.2595,2.328695768,0.83,NA,NA,NA,NA,NA,NA,NA,1030.73433,-666.92194
10797,Corn,51920.35852,Cass, Iowa,1927,44624.68577,106457.0209,2.38518704,0.83,NA,NA,NA,NA,NA,NA,NA,1254.52549,297.03926
10890,Corn,42939.17007,Cedar_IA, Iowa,1927,33067.6732,75492.78602,2.284758112,0.83,NA,NA,NA,NA,NA,NA,NA,896.37869,-2154.14167
10983,Corn,46088.43373,Cerro Gordo, Iowa,1927,31821.24142,59794.75716,1.876765592,0.83,NA,NA,NA,NA,NA,NA,NA,12.94994,94.29175
11076,Corn,56567.36375,Cherokee, Iowa,1927,47678.84831,110470.4328,2.316142152,0.83,NA,NA,NA,NA,NA,NA,NA,706.58113,-739.36067
11169,Corn,30510.05994,Chickasaw, Iowa,1927,18147.72294,27611.25787,1.518987536,0.83,NA,NA,NA,NA,NA,NA,NA,177.25231,-211.65059
11262,Corn,24249.16837,Clarke, Iowa,1927,20542.24788,36196.9112,1.763783048,0.83,NA,NA,NA,NA,NA,NA,NA,2636.12227,-503.02425
11355,Corn,51635.45983,Clay, Iowa,1927,42521.93917,81335.09449,1.91442644,0.83,NA,NA,NA,NA,NA,NA,NA,2066.72958,-3154.1199
11448,Corn,32985.52201,Clayton, Iowa,1927,21111.64058,41150.17273,1.952087288,0.83,NA,NA,NA,NA,NA,NA,NA,1149.30722,-717.50764
11541,Corn,49005.81253,Clinton_IA, Iowa,1927,40583.89963,84738.87421,2.090177064,0.83,NA,NA,NA,NA,NA,NA,NA,2177.20875,-3128.22001
11634,Corn,62981.2265,Crawford_IA, Iowa,1927,55582.3589,134677.911,2.422847888,0.83,NA,NA,NA,NA,NA,NA,NA,383.64198,-807.75254
11727,Corn,57910.11071,Dallas, Iowa,1927,50020.76412,133839.6667,2.673920208,0.83,NA,NA,NA,NA,NA,NA,NA,946.55972,906.09115
11820,Corn,28878.77211,Decatur, Iowa,1927,25083.22547,39473.68421,1.575478808,0.83,NA,NA,NA,NA,NA,NA,NA,1528.90236,-1527.6883
11913,Corn,36465.81853,Delaware, Iowa,1927,23850.95769,40946.962,1.719845392,0.83,NA,NA,NA,NA,NA,NA,NA,2528.07121,-1337.89074
12006,Corn,26277.4528,Des Moines, Iowa,1927,20791.93892,40159.52042,1.933256864,0.83,NA,NA,NA,NA,NA,NA,NA,1683.08759,-2157.78385
12099,Corn,33518.493,Dickinson, Iowa,1927,27445.37557,46382.84901,1.688461352,0.83,NA,NA,NA,NA,NA,NA,NA,906.49584,-1387.66707
12192,Corn,27315.47148,Dubuque, Iowa,1927,20736.49699,32031.09124,1.544094768,0.83,NA,NA,NA,NA,NA,NA,NA,1548.32726,-1505.0259
12285,Corn,34742.26238,Emmet, Iowa,1927,27655.00273,52275.96017,1.889319208,0.83,NA,NA,NA,NA,NA,NA,NA,1888.26321,-2350.00953
12378,Corn,40095.44406,Fayette, Iowa,1927,21608.18987,34850.64011,1.613139656,0.83,NA,NA,NA,NA,NA,NA,NA,1451.6074,-1488.83848
12471,Corn,40104.34714,Floyd, Iowa,1927,27135.79105,48313.35094,1.782613472,0.83,NA,NA,NA,NA,NA,NA,NA,-692.41713,204.77093
12564,Corn,55806.15006,Franklin, Iowa,1927,38623.19769,81970.12802,2.121561104,0.83,NA,NA,NA,NA,NA,NA,NA,-1009.28599,1143.23694
12657,Corn,63652.19529,Fremont, Iowa,1927,60993.41062,147276.9762,2.41657108,0.83,NA,NA,NA,NA,NA,NA,NA,-2508.6463,192.63037
12750,Corn,63483.84606,Greene_IA, Iowa,1927,56150.53754,130537.4924,2.32241896,0.83,NA,NA,NA,NA,NA,NA,NA,464.17443,-244.02545
12843,Corn,43729.11644,Grundy_IA, Iowa,1927,36866.862,92689.494,2.517000008,0.83,NA,NA,NA,NA,NA,NA,NA,221.76773,-826.77277
12936,Corn,49357.48435,Guthrie, Iowa,1927,44292.84354,103612.0707,2.341249384,0.83,NA,NA,NA,NA,NA,NA,NA,905.28178,969.22211
13029,Corn,58794.75353,Hamilton, Iowa,1927,49335.22664,113112.1723,2.29103492,0.83,NA,NA,NA,NA,NA,NA,NA,829.60556,-407.51844
13122,Corn,50488.98541,Hancock_IA, Iowa,1927,39840.89679,77423.28795,1.94581048,0.83,NA,NA,NA,NA,NA,NA,NA,365.83582,-1006.85787
13215,Corn,54257.41811,Hardin, Iowa,1927,42033.4836,93857.9557,2.234543648,0.83,NA,NA,NA,NA,NA,NA,NA,207.60373,162.68363
13308,Corn,74446.37542,Harrison, Iowa,1927,70428.65637,177377.5655,2.517000008,0.83,NA,NA,NA,NA,NA,NA,NA,673.8016,-554.41933
13401,Corn,29283.86244,Henry_IA, Iowa,1927,22093.00326,46687.66511,2.115284296,0.83,NA,NA,NA,NA,NA,NA,NA,324.1532,-1045.7077
13494,Corn,23173.91861,Howard_IA, Iowa,1927,8849.665624,12776.87462,1.44366584,0.83,NA,NA,NA,NA,NA,NA,NA,826.36809,-562.91773
13587,Corn,44094.95226,Humboldt, Iowa,1927,36927.96954,77270.8799,2.090177064,0.83,NA,NA,NA,NA,NA,NA,NA,253.33321,-802.49163
13680,Corn,44230.52195,Ida, Iowa,1927,38059.47059,94543.79191,2.485615968,0.83,NA,NA,NA,NA,NA,NA,NA,-331.84223,1027.09216
13773,Corn,39549.11844,Iowa, Iowa,1927,33853.57271,82782.97094,2.44795512,0.83,NA,NA,NA,NA,NA,NA,NA,1883.00229,-2254.9084
13866,Corn,26476.15346,Jackson_IA, Iowa,1927,20062.29071,34012.39585,1.69473816,0.83,NA,NA,NA,NA,NA,NA,NA,632.92834,-1084.55752
13959,Corn,61813.30373,Jasper_IA, Iowa,1927,52842.6371,137726.0719,2.60487532,0.83,NA,NA,NA,NA,NA,NA,NA,2413.94986,-1342.74696
14052,Corn,25498.02826,Jefferson, Iowa,1927,19700.90643,30583.21479,1.550371576,0.83,NA,NA,NA,NA,NA,NA,NA,1920.23337,-2218.082
14145,Corn,41336.21024,Johnson_IA, Iowa,1927,35465.84031,75137.16724,2.121561104,0.83,NA,NA,NA,NA,NA,NA,NA,3121.34036,-2031.52192
14238,Corn,33578.38648,Jones, Iowa,1927,24518.28432,52098.15078,2.127837912,0.83,NA,NA,NA,NA,NA,NA,NA,666.92193,-458.10414
14331,Corn,41849.35163,Keokuk, Iowa,1927,35484.86054,70285.51107,1.983471328,0.83,NA,NA,NA,NA,NA,NA,NA,3169.49795,-3362.12832
14424,Corn,90074.12087,Kossuth, Iowa,1927,74545.52341,149334.4849,2.002301752,0.83,NA,NA,NA,NA,NA,NA,NA,2428.11385,-2079.67951
14517,Corn,23145.18593,Lee_IA, Iowa,1927,16412.83559,21972.16013,1.336960104,0.83,NA,NA,NA,NA,NA,NA,NA,2071.18112,-1617.9332
14610,Corn,48328.77345,Linn, Iowa,1927,35551.22898,73968.70555,2.077623448,0.83,NA,NA,NA,NA,NA,NA,NA,2698.84855,-1547.51789
14703,Corn,26995.76982,Louisa, Iowa,1927,21792.32183,38838.65068,1.782613472,0.83,NA,NA,NA,NA,NA,NA,NA,2717.46409,-3057.80471
14796,Corn,59289.68407,Lyon, Iowa,1927,52680.35816,114661.6541,2.178052376,0.83,NA,NA,NA,NA,NA,NA,NA,-2139.16831,1277.59257
14889,Corn,37848.62937,Madison, Iowa,1927,31510.84753,72165.21032,2.29103492,0.83,NA,NA,NA,NA,NA,NA,NA,2685.49392,-623.21589
14982,Corn,46038.6574,Mahaska, Iowa,1927,37843.77314,88066.44991,2.328695768,0.83,NA,NA,NA,NA,NA,NA,NA,2135.93082,-918.23172
15075,Corn,38432.99544,Marion_IA, Iowa,1927,32392.25286,75391.18065,2.328695768,0.83,NA,NA,NA,NA,NA,NA,NA,2961.08484,-1453.63083
15168,Corn,51258.6975,Marshall_IA, Iowa,1927,43672.86513,119335.5009,2.73041148,0.83,NA,NA,NA,NA,NA,NA,NA,-40.06388,-399.02004
15261,Corn,31571.14569,Mitchell, Iowa,1927,13158.75834,23242.22719,1.763783048,0.83,NA,NA,NA,NA,NA,NA,NA,-442.72609,-627.66743
15354,Corn,66527.08209,Monona, Iowa,1927,61626.33897,148089.8191,2.404017464,0.83,NA,NA,NA,NA,NA,NA,NA,81.34182,-2662.83153
15447,Corn,20014.13312,Monroe_IA, Iowa,1927,15316.54219,22683.39768,1.481326688,0.83,NA,NA,NA,NA,NA,NA,NA,697.27336,-165.11174
15540,Corn,42079.21308,Montgomery_IA, Iowa,1927,37204.77452,96880.7153,2.60487532,0.83,NA,NA,NA,NA,NA,NA,NA,1257.76297,71.22468
15633,Corn,29421.45556,Muscatine, Iowa,1927,23153.27965,45493.80207,1.964640904,0.83,NA,NA,NA,NA,NA,NA,NA,3172.73543,-2923.85376
15726,Corn,55167.55612,O'Brien, Iowa,1927,46959.72192,99979.67892,2.127837912,0.83,NA,NA,NA,NA,NA,NA,NA,977.31582,-1963.53473
15819,Corn,37394.1674,Osceola, Iowa,1927,31947.09865,62309.48994,1.952087288,0.83,NA,NA,NA,NA,NA,NA,NA,680.27656,-1790.73396
15912,Corn,50234.03345,Page, Iowa,1927,44207.85955,109276.5698,2.473062352,0.83,NA,NA,NA,NA,NA,NA,NA,985.40954,613.90812
16005,Corn,51953.13806,Palo Alto, Iowa,1927,42336.99783,75467.38468,1.782613472,0.83,NA,NA,NA,NA,NA,NA,NA,1705.74998,-2838.06041
16098,Corn,87103.72826,Plymouth, Iowa,1927,77604.94686,181390.9774,2.334972576,0.83,NA,NA,NA,NA,NA,NA,NA,913.78018,2067.13426
16191,Corn,59904.40156,Pocahontas, Iowa,1927,53235.58686,110368.8275,2.07134664,0.83,NA,NA,NA,NA,NA,NA,NA,1933.99268,-1950.58479
16284,Corn,46234.92994,Polk_IA, Iowa,1927,40909.67157,101249.746,2.473062352,0.83,NA,NA,NA,NA,NA,NA,NA,2549.51954,-1590.00988
16377,Corn,48325.53596,Poweshiek, Iowa,1927,41070.33177,100843.3245,2.454231928,0.83,NA,NA,NA,NA,NA,NA,NA,1388.88113,-1229.43498
16470,Corn,32462.26347,Ringgold, Iowa,1927,28541.26429,52479.1709,1.839104744,0.83,NA,NA,NA,NA,NA,NA,NA,2338.67833,-506.66643
16563,Corn,56424.10504,Sac, Iowa,1927,49322.68139,115880.9185,2.347526192,0.83,NA,NA,NA,NA,NA,NA,NA,1110.86208,2175.18533
16656,Corn,30674.36231,Scott, Iowa,1927,25454.32221,63808.16907,2.504446392,0.83,NA,NA,NA,NA,NA,NA,NA,1102.76837,-1469.00888
16749,Corn,58335.84001,Shelby_IA, Iowa,1927,52737.82352,140901.2396,2.673920208,0.83,NA,NA,NA,NA,NA,NA,NA,1271.92697,653.16263
